transaction_id,date,merchant,category,amount,currency,payment_mode,receiver_acc_no,sender_acc_no,type
PVGEXNPNLTOTN0,2024-11-21,Comcast,utilities,29.09,USD,apple pay,6714086308777,6344879403209,debit
5U0VQ3PWTZJQZQ,2024-07-01,Refund,misc,10.5,USD,paypal,6714086308777,8174938556046,credit
G3P08JHMN63JSA,2025-05-22,Robinhood,stocks,1138.58,USD,netbanking,6714086308777,5821702577774,credit
54E6DOJBAGGZI8,2024-09-28,Uber,travel,53.6,USD,netbanking,6714086308777,4702653153306,debit
GCCXIR0H3X4389,2025-03-13,Verizon,utilities,49.12,USD,netbanking,6714086308777,1546963675624,debit
HPPG82APHWE4CR,2024-12-12,Whole Foods,groceries,79.38,USD,apple pay,6714086308777,8992197318589,debit
OKT91NP87CF0YJ,2025-03-08,Verizon,utilities,36.81,USD,apple pay,6714086308777,1909000330068,debit
R7KGNGOGDS756W,2024-12-12,Freelance Payment,job,186.59,USD,netbanking,6714086308777,9507705778942,credit
6IN19Q1CDNNWAY,2024-08-04,Walmart,groceries,2.08,USD,apple pay,6714086308777,6799261307166,debit
C4ML0ZNJJIQAPK,2024-10-02,Whole Foods,groceries,60.22,USD,netbanking,6714086308777,4986546318571,debit
THGFO4MKROPG7Z,2025-06-19,Greyhound,travel,57.2,USD,card,6714086308777,3322047755890,debit
KIXQGDLMYSBAU0,2025-05-05,Amazon,online_shopping,95.24,USD,paypal,6714086308777,8562332055096,debit
8M2UTFMWQWRNSR,2025-06-19,Etsy,online_shopping,21.88,USD,apple pay,6714086308777,5575357813584,debit
1U48GDWGFITS9K,2025-06-16,AMC Theatres,others,83.57,USD,card,6714086308777,8956542529792,debit
BKA5SIKVOD53RZ,2025-06-02,Lyft,travel,51.45,USD,paypal,6714086308777,2362958769587,debit
SGHJEOCRBCZMPH,2024-11-26,Verizon,utilities,60.84,USD,netbanking,6714086308777,9074829521808,debit
F7REQKSS78LYYQ,2025-06-07,Starbucks,others,27.48,USD,apple pay,6714086308777,2701898502882,debit
QKC2AAYVLJYACV,2025-03-20,Vanguard,funds,224.33,USD,netbanking,6714086308777,3994306628766,credit
P1U9QUNHIDZOWE,2024-11-03,Walmart,groceries,46.56,USD,paypal,6714086308777,8237125999919,debit
5ZW2CU1KB5BQ8E,2024-07-08,Costco,groceries,47.36,USD,netbanking,6714086308777,2774702839859,debit
0HZUYVQH0UOARQ,2025-01-30,Cashback,misc,27.89,USD,paypal,6714086308777,8870662900565,credit
X42L3JS4HKA35U,2025-04-09,Etsy,online_shopping,56.6,USD,netbanking,6714086308777,4183096589781,debit
XUYV7JPHMP4UHB,2025-03-17,Charles Schwab,stocks,793.34,USD,netbanking,6714086308777,7353170298454,credit
C792IV6FDSVZ3X,2025-06-13,Costco,groceries,16.79,USD,apple pay,6714086308777,8252939411024,debit
VRML5MP2FDA9FT,2025-02-17,Gift,misc,6.92,USD,netbanking,6714086308777,8584917208141,credit
LHK9HUA31OGSE7,2025-05-19,Vanguard,funds,459.26,USD,netbanking,6714086308777,3576658841998,credit
IN6PIR0PG16DSM,2025-01-10,Whole Foods,groceries,7.0,USD,cash,6714086308777,0135840654378,debit
YSHMF9YBDZFOLC,2025-05-19,Walmart,groceries,73.35,USD,netbanking,6714086308777,3255584199399,debit
G1FKCYOX6GZTZM,2025-05-07,Uber,travel,41.3,USD,cash,6714086308777,3240973047832,debit
9NHWHRER2MGUCT,2025-03-19,Lyft,travel,75.27,USD,card,6714086308777,5093885187324,debit
9AJHGIYEHQ0IDE,2025-03-21,BlackRock,funds,227.32,USD,netbanking,6714086308777,1869307894147,credit
4RGYC9IJIZ6TCM,2025-02-08,Etsy,online_shopping,22.72,USD,paypal,6714086308777,2528372680029,debit
169LWYD28P2TJ2,2025-05-17,eBay,online_shopping,32.09,USD,cash,6714086308777,1761360359146,debit
KMC7KON7ORE1LM,2025-01-14,Uber,travel,88.87,USD,apple pay,6714086308777,6214253474890,debit
6M9WT0TI1IPHSH,2025-03-20,Walmart,groceries,3.31,USD,paypal,6714086308777,7715003848546,debit
UOFBHINTHLZ98V,2025-06-07,Freelance Payment,job,141.08,USD,netbanking,6714086308777,3841518835184,credit
J4QQJF0WAKW5YG,2025-04-30,Whole Foods,groceries,76.47,USD,paypal,6714086308777,3111229247292,debit
0N27KTN2ZMUVR3,2025-05-04,Fidelity,stocks,461.71,USD,netbanking,6714086308777,2753419887876,credit
ZXAIHCBGWOJET0,2025-02-01,Gift,misc,21.1,USD,netbanking,6714086308777,4038490646478,credit
UFXDW9MNK8SN7H,2025-04-22,Costco,groceries,49.63,USD,card,6714086308777,2899284886791,debit
7YN1RW2EXMJ5Z8,2025-01-13,Comcast,utilities,6.16,USD,card,6714086308777,6964592972072,debit
BJ7FGETLGKTDP4,2025-02-15,Greyhound,travel,67.58,USD,netbanking,6714086308777,3556874271402,debit
